Código Localidade;Nome Localidade;Ano;Faixa_Etaria_Quinquenal;Homem;Mulher;Total
3550308;São Paulo;2050;00 a 04 anos;295.611;282.184;577.795
3550308;São Paulo;2050;05 a 09 anos;302.420;288.988;591.408
3550308;São Paulo;2050;10 a 14 anos;307.942;294.576;602.518
3550308;São Paulo;2050;15 a 19 anos;319.196;305.716;624.912
3550308;São Paulo;2050;20 a 24 anos;348.264;334.096;682.360
3550308;São Paulo;2050;25 a 29 anos;385.957;370.616;756.573
3550308;São Paulo;2050;30 a 34 anos;412.992;397.078;810.070
3550308;São Paulo;2050;35 a 39 anos;428.801;413.461;842.262
3550308;São Paulo;2050;40 a 44 anos;359.233;352.579;711.812
3550308;São Paulo;2050;45 a 49 anos;377.828;373.837;751.665
3550308;São Paulo;2050;50 a 54 anos;418.259;424.193;842.452
3550308;São Paulo;2050;55 a 59 anos;377.580;399.911;777.491
3550308;São Paulo;2050;60 a 64 anos;398.227;442.973;841.200
3550308;São Paulo;2050;65 a 69 anos;381.264;460.223;841.487
3550308;São Paulo;2050;70 a 74 anos;313.814;414.592;728.406
3550308;São Paulo;2050;75 anos e mais;461.662;761.218;1.222.880
3550308;São Paulo;2050;Total da Seleção;5.889.050;6.316.241;12.205.291
3550308;São Paulo;2050;Total Geral da População;5.889.050;6.316.241;12.205.291
